Time (s),Depth,Sonic_Velocity,AC,R64,TEMP,RT,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.072,68.60044482201502,1931.5261909216704,,,,,657.93164,7.228370189666748,657.93164,657.931640625,432874.03
0.076,72.46616628852853,1934.1281684670278,,,,,3289.664,17.494930267333984,3289.664,1973.7978515625,10821890.0
0.08,76.33709484805046,1936.7336508533836,,,,,6579.328,20.437055587768555,6579.328,3508.974609375,43287560.0
0.084,80.21323765923015,1939.3426428991513,,,,,8333.816,20.070932388305664,8333.816,4715.18505859375,69452500.0
0.088,84.09460206389053,1941.955149546037,,,,,7237.2617,20.777454376220703,7237.2617,5219.600390625,52377956.0
0.092,87.9811952870332,1944.5711756571152,,,,,3728.287,19.305702209472656,3728.287,5833.671484375,13900125.0
0.096,91.87302398584683,1947.1907257132716,,,,,877.2422,14.199071884155273,877.2422,5351.187109375,769553.9
0.1,95.77009525775897,1949.8138044917118,,,,,-219.3125,7.249069690704346,219.3125,3991.458984375,48097.973
0.104,99.67241618108683,1952.4404167567789,,,,,219.31055,3.7543320655822754,219.31055,2368.5578125,48097.117
0.108,103.57999381511412,1955.070567260004,,,,,657.93164,2.631648063659668,657.93164,1052.691796875,432874.03
0.112,107.49283520016802,1957.70426074016,,,,,-657.9336,7.843523025512695,657.9336,175.44765625,432876.62
0.116,111.41094773357769,1960.3415021763128,,,,,-4605.5312,14.04615592956543,4605.5312,-921.10703125,21210918.0
0.12,115.33433846774741,1962.9822963153638,,,,,-10307.617,16.611360549926758,10307.617,-2938.76796875,106246980.0
0.124,119.26301413977421,1965.626647691984,,,,,-15571.082,18.038585662841797,15571.082,-6096.846484375,242458600.0
0.128,123.1969817144394,1968.2745609940964,,,,,-17544.883,231.5819549560547,17544.883,-9737.409375,307822900.0
0.132,127.13624937587018,1970.9260417303533,,,,,-15132.461,17.95657730102539,15132.461,-12632.31484375,228991380.0
0.136,131.08082309445024,1973.5810939193586,,,,,-9211.0625,17.155073165893555,9211.0625,-13553.42109375,84843670.0
0.14,135.0307107217181,1976.2397228459029,,,,,-1754.4883,16.027345657348633,1754.4883,-11842.7953125,3078229.2
0.144,138.9859189326251,1978.9019330028273,,,,,5921.3984,15.314821243286133,5921.3984,-7544.29921875,35062960.0
0.148,142.94645552279445,1981.567729637286,,,,,13377.973,15.56217098236084,13377.973,-1359.728125,178970160.0
0.152,146.9123268403342,1984.2371170221256,,,,,19518.68,16.92864227294922,19518.68,5570.5,380978850.0
0.156,150.8835408168144,1986.9101004960046,,,,,21492.48,18.009233474731445,21492.48,11711.20859375,461926720.0
0.16,154.8601044832074,1989.586684791399,,,,,17764.191,18.451675415039062,17764.191,15614.94453125,315566500.0
0.164,158.84202475598585,1992.2668745637152,,,,,10307.617,16.993751525878906,10307.617,16492.18828125,106246980.0
0.168,162.82930894993518,1994.9506747364605,,,,,5044.1523,10.146150588989258,5044.1523,14825.42421875,25443472.0
0.172,166.82196436009735,1997.638090219853,,,,,4605.5312,1.356650948524475,4605.5312,11842.79453125,21210918.0
0.176,170.81999826185105,2000.3291259108755,,,,,5482.7734,1.1863089799880981,5482.7734,8640.853125,30060804.0
0.18,174.82341791099037,2003.0237866933294,,,,,1315.8652,14.224371910095215,1315.8652,5351.187890625,1731501.4
0.184,178.83223054380431,2005.7220774378857,,,,,-7895.1953,19.868379592895508,7895.1953,1710.625390625,62334108.0
0.188,182.84644337715534,2008.4240030021413,,,,,-15351.77,21.43117332458496,15351.77,-2368.558984375,235676830.0
0.192,186.86606360855717,2011.1295682306688,,,,,-15351.77,20.374853134155273,15351.77,-6360.019140625,235676830.0
0.196,190.89109841625276,2013.83877795507,,,,,-10526.93,236.10264587402344,10526.93,-9561.959765625,110816250.0
0.2,194.9215556787636,2016.5516374782974,,,,,-7895.1953,1.1499286890029907,7895.1953,-11404.171875,62334108.0
0.204,198.957442292323,2019.268151442135,,,,,-8772.441,1.823157787322998,8772.441,-11579.62109375,76955730.0
0.208,202.9987650798297,2021.9883244390055,,,,,-8114.508,15.550661087036133,8114.508,-10132.16875,65845236.0
0.212,207.0455326563867,2024.712162267647,,,,,-2851.045,22.6134090423584,2851.045,-7632.023828125,8128457.0
0.216,211.09775080884637,2027.4396688231307,,,,,2631.7305,26.773847579956055,2631.7305,-5000.291796875,6926005.5
0.22,215.15542839705273,2030.1708500689265,,,,,1973.7988,40.78104019165039,1973.7988,-3026.49296875,3895881.8
0.224,219.21857149332027,2032.9057100922475,,,,,-3947.5996,121.70983123779297,3947.5996,-2061.524609375,15583543.0
0.228,223.28718808664246,2035.6442542704033,,,,,-7675.8867,219.46682739257812,7675.8867,-1973.800390625,58919236.0
0.232,227.3612857293511,2038.3864876867913,,,,,-4605.5312,25.812076568603516,4605.5312,-2324.69765625,21210918.0
0.236,231.44087133148972,2041.1324149924906,,,,,2412.42,23.393827438354492,2412.42,-2368.559765625,5819770.0
0.24,235.52595239763505,2043.8820412387554,,,,,7017.953,19.492904663085938,7017.953,-1359.72890625,49251668.0
0.244,239.61653641209915,2046.6353714631991,,,,,7017.953,11.359908103942871,7017.953,833.381640625,49251668.0
0.248,243.7126308390106,2049.3924106898507,,,,,5702.086,2.6983988285064697,5702.086,3508.976171875,32513784.0
0.252,247.81424312239653,2052.1531639292084,,,,,7237.2617,2.2504665851593018,7237.2617,5877.534765625,52377956.0
0.256,251.92138068626406,2054.9176361782957,,,,,12720.039,10.798267364501953,12720.039,7939.05859375,161799400.0
0.26,256.03405093468,2057.6858324207137,,,,,18422.125,17.320960998535156,18422.125,10219.89296875,339374700.0
0.264,260.15226125185177,2060.457757626697,,,,,19299.367,19.279693603515625,19299.367,12676.17578125,372465570.0
0.268,264.27601900220714,2063.2334167531667,,,,,13158.66,20.214513778686523,13158.66,14167.490625,173150340.0
0.272,268.405331704171,2066.0128148606973,,,,,1973.7988,20.45559310913086,1973.7988,13114.798046875,3895881.8
0.276,272.54020746989573,2068.7959574094957,,,,,-8553.129,19.697582244873047,8553.129,8860.164453125,73156020.0
0.28,276.6806528221413,2071.5828487899653,,,,,-14035.906,18.143234252929688,14035.906,2368.558203125,197006670.0
0.284,280.8266759120884,2074.373494488582,,,,,-14035.906,15.351228713989258,14035.906,-4298.496484375,197006670.0
0.288,284.97828394602016,2077.1678993558207,,,,,-11404.172,10.148427963256836,11404.172,-9211.062890625,130055140.0
0.292,289.13548469006423,2079.966068618983,,,,,-9649.684,246.3787384033203,9649.684,-11535.759375,93116390.0
0.296,293.29828510289144,2082.768006961879,,,,,-10088.309,2.491785764694214,10088.309,-11842.7953125,101773970.0
0.3,297.46669384085544,2085.573720211012,,,,,-11623.484,8.852095603942871,11623.484,-11360.3109375,135105390.0
0.304,301.64071748288694,2088.383212794592,,,,,-10965.551,15.329315185546875,10965.551,-10746.23984375,120243304.0
0.308,305.82036373527933,2091.196489899647,,,,,-6140.707,18.524070739746094,6140.707,-9693.546875,37708284.0
0.312,310.00564028349123,2094.0135566991803,,,,,1535.1758,20.186420440673828,1535.1758,-7456.575,2356764.8
0.316,314.19655490281895,2096.834418426664,,,,,8114.508,20.407676696777344,8114.508,-3816.01171875,65845236.0
0.32,318.3931151262463,2099.6590801524726,,,,,10746.238,19.94889259338379,10746.238,657.9328125,115481640.0
0.324,322.5953283964277,2102.487546886181,,,,,9211.0625,18.471540451049805,9211.0625,4693.25546875,84843670.0
0.328,326.80320241918906,2105.3198238145005,,,,,6140.707,13.838652610778809,6140.707,7149.53828125,37708284.0
0.332,331.0167450050313,2108.1559161946006,,,,,3947.5977,7.424516201019287,3947.5977,7632.02265625,15583527.0
0.336,335.2359635666031,2110.995829015859,,,,,3289.664,0.9858880043029785,3289.664,6667.05390625,10821890.0
0.34,339.4608656458555,2113.839567354685,,,,,3508.9746,1.963463544845581,3508.9746,5219.601171875,12312903.0
0.344,343.69145876456724,2116.6871362739116,,,,,3508.9746,8.884745597839355,3508.9746,4079.18359375,12312903.0
0.348,347.92775130568765,2119.538541416016,,,,,2193.1094,16.27230453491211,2193.1094,3289.6640625,4809728.5
0.352,352.16975031912625,2122.3937875262204,,,,,-1096.5566,21.394775390625,1096.5566,2280.833203125,1202436.5
0.356,356.41746354762427,2125.252879816084,,,,,-4824.8438,24.424358367919922,4824.8438,657.931640625,23279118.0
0.36,360.67089901578424,2128.1158236868846,,,,,-6579.332,28.49857521057129,6579.332,-1359.7296875,43287610.0
0.364,364.9300641350481,2130.982624127189,,,,,-4386.2188,217.78538513183594,4386.2188,-2938.768359375,19238914.0
0.368,369.19496645372146,2133.853286217683,,,,,438.6211,36.541744232177734,438.6211,-3289.666015625,192388.47
0.372,373.46561449970415,2136.72781569841,,,,,4824.84,40.78083038330078,4824.84,-2105.38671875,23279080.0
0.376,377.7420152235145,2139.6062172476913,,,,,5263.465,40.59772872924805,5263.465,-87.725,27704062.0
0.38,382.02417650387963,2142.488496168619,,,,,657.93164,36.86808395385742,657.93164,1359.727734375,432874.03
