Time (s),Depth,Sonic_Velocity,AC,PORT,R64,SW,RT,POR,PORW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.116,118.70119011012515,2302.344489662881,,,,,,,,532.10645,20.5594425201416,532.10645,532.1064453125,283137.28
0.12,123.32530211579375,2321.380395855478,,,,,,,,1170.6338,23.91783332824707,1170.6338,851.3701171875,1370383.5
0.124,127.98764078703275,2340.573668309741,,,,,,,,1489.8975,16.9012393951416,1489.8975,1064.2125651041667,2219794.5
0.128,132.68852512455834,2359.9256202437973,,,,,,,,1277.0557,20.746015548706055,1277.0557,1117.42333984375,1630871.1
0.132,137.42827407009642,2379.43756463293,,,,,,,,851.3701,8.08465576171875,851.3701,1064.2126953125,724831.06
0.136,142.20720593854344,2399.110811871979,,,,,,,,851.3701,3.4168636798858643,851.3701,1128.0654296875,724831.06
0.14,147.02564896220215,2418.9467131823935,,,,,,,,1383.4766,7.236578941345215,1383.4766,1170.633984375,1914007.4
0.144,151.88392601132253,2438.946597711863,,,,,,,,1915.583,11.620232582092285,1915.583,1255.77109375,3669458.2
0.148,156.7823685128777,2459.111829833215,,,,,,,,1596.3193,16.178415298461914,1596.3193,1319.623828125,2548235.5
0.152,161.7213080605455,2479.4437746055437,,,,,,,,-425.68457,20.954696655273438,425.68457,1064.212890625,181207.36
0.156,166.70107787584536,2499.9438037892164,,,,,,,,-3724.7441,22.49258041381836,3724.7441,148.9900390625,13873719.0
0.16,171.7220196259702,2520.6133239125843,,,,,,,,-6598.117,21.719024658203125,6598.117,-1447.3287109375,43535150.0
0.164,176.78446939853274,2541.4537185347517,,,,,,,,-7662.328,227.3279571533203,7662.328,-3362.9109375,58711270.0
0.168,181.88877209832216,2562.4664075121605,,,,,,,,-5959.59,22.153291702270508,5959.59,-4874.0927734375,35516710.0
0.172,187.03527493814735,2583.652820202587,,,,,,,,-2234.8467,21.676786422729492,2234.8467,-5235.9251953125,4994539.5
0.176,192.22432412656292,2605.0143818296333,,,,,,,,1809.1621,20.1037540435791,1809.1621,-4129.1439453125,3273067.5
0.18,197.45627363990405,2626.552549594229,,,,,,,,5001.797,18.718900680541992,5001.797,-1809.1611328125,25017972.0
0.184,202.7314765772577,2648.268777085967,,,,,,,,6810.961,17.71341323852539,6810.961,1085.4966796875,46389188.0
0.188,208.05029176274041,2670.1645414624563,,,,,,,,7449.4883,15.8541898727417,7449.4883,3767.3123046875,55494876.0
0.192,213.41307793680636,2692.2413195368918,,,,,,,,7130.2227,16.78043556213379,7130.2227,5640.326171875,50840076.0
0.196,218.82020135202532,2714.500619047312,,,,,,,,5427.4844,17.568511962890625,5427.4844,6363.990625,29457586.0
0.2,224.27202707505788,2736.9439428497667,,,,,,,,2022.0039,19.699708938598633,2022.0039,5768.03203125,4088499.8
0.204,229.76892452384897,2759.572811713074,,,,,,,,-2447.6885,21.103532791137695,2447.6885,3916.3021484375,5991179.0
0.208,235.31126559232126,2782.3887565988125,,,,,,,,-6172.4297,21.76476287841797,6172.4297,1191.9185546875,38098890.0
0.212,240.8994270857801,2805.3933286870683,,,,,,,,-7555.9062,22.896045684814453,7555.9062,-1745.3072265625,57091720.0
0.216,246.53378993772256,2828.5880961522926,,,,,,,,-6066.0117,227.28358459472656,6066.0117,-4044.0064453125,36796500.0
0.22,252.2147314991898,2851.974612421179,,,,,,,,-2979.795,22.63055992126465,2979.795,-5044.3662109375,8879178.0
0.224,257.94264074289987,2875.554478762935,,,,,,,,-319.26367,20.209077835083008,319.26367,-4618.68125,101929.29
0.228,263.71790283539104,2899.329280778016,,,,,,,,851.3701,15.495606422424316,851.3701,-3213.9212890625,724831.06
0.232,269.5409121876123,2923.300642122987,,,,,,,,957.792,7.267392158508301,957.792,-1511.181640625,917365.5
0.236,275.412060543649,2947.470175475841,,,,,,,,1170.6338,3.571885347366333,1170.6338,-63.8525390625,1370383.5
0.24,281.33174923866613,2971.8395329978016,,,,,,,,2128.4258,15.249293327331543,2128.4258,957.7916015625,4530196.5
0.244,287.30037559986994,2996.4103503506813,,,,,,,,3086.2178,21.95223617553711,3086.2178,1638.887890625,9524740.0
0.248,293.3183489336134,3021.1843125103915,,,,,,,,2766.9531,27.848661422729492,2766.9531,2022.0044921875,7656029.5
0.252,299.3860735108478,3046.1630837237963,,,,,,,,638.5283,29.748273849487305,638.5283,1958.1517578125,407718.4
0.256,305.50396151165495,3071.3483607969765,,,,,,,,-2128.4248,30.975557327270508,2128.4248,1298.3400390625,4530192.0
0.26,311.67242962729665,3096.7418591070173,,,,,,,,-3831.165,32.084041595458984,3831.165,106.421875,14677826.0
0.264,317.8918924700341,3122.345285472461,,,,,,,,-3299.0586,219.7223663330078,3299.0586,-1170.6333984375,10883788.0
0.268,324.16277542612636,3148.1603910647555,,,,,,,,-1064.2119,28.49442481994629,1064.2119,-1936.86640625,1132547.0
0.272,330.4854999529243,3174.188910881364,,,,,,,,1702.7402,26.537982940673828,1702.7402,-1724.0240234375,2899324.2
0.276,336.8604978726792,3200.43262258854,,,,,,,,3618.3232,23.79960060119629,3618.3232,-574.6744140625,13092263.0
0.28,343.2881982709885,3226.8932925866598,,,,,,,,4150.426,20.938901901245117,4150.426,1021.64375,17226034.0
0.284,349.7690400360484,3253.572727630083,,,,,,,,3724.745,17.327529907226562,3724.745,2426.4044921875,13873726.0
0.288,356.30345909899995,3280.472722299975,,,,,,,,2873.374,15.323546409606934,2873.374,3213.9216796875,8256278.5
0.292,362.8919016424739,3307.595113379418,,,,,,,,1809.1621,13.808420181274414,1809.1621,3235.2060546875,3273067.5
0.296,369.5348135712229,3334.9417365075637,,,,,,,,319.26367,14.796869277954102,319.26367,2575.394140625,101929.29
0.3,376.23264351911496,3362.514438558411,,,,,,,,-1702.7402,16.152442932128906,1702.7402,1404.7609375,2899324.2
0.304,382.98584595737435,3390.3150904363797,,,,,,,,-3937.587,17.566932678222656,3937.587,-127.70546875,15504591.0
0.308,389.7948793885904,3418.345579641658,,,,,,,,-5533.9023,18.27756690979004,5533.9023,-1809.1607421875,30624076.0
0.312,396.66020680393507,3446.6078121524106,,,,,,,,-5959.59,231.65687561035156,5959.59,-3362.9111328125,35516710.0
0.316,403.582290301133,3475.103690268784,,,,,,,,-4788.957,19.246448516845703,4788.957,-4384.5552734375,22934110.0
0.32,410.5616019140652,3503.8351571947182,,,,,,,,-2660.5312,17.28221893310547,2660.5312,-4576.1134765625,7078426.5
0.324,417.5986118264073,3532.804148517487,,,,,,,,-744.94824,14.531079292297363,744.94824,-3937.5857421875,554947.9
0.328,424.6938004651957,3562.012641992816,,,,,,,,319.26367,9.371403694152832,319.26367,-2766.9525390625,101929.29
0.332,431.8476480703132,3591.462614605983,,,,,,,,957.792,5.746351718902588,957.792,-1383.476171875,917365.5
0.336,439.0606375831706,3621.1560544635436,,,,,,,,2234.8467,8.657197952270508,2234.8467,21.2845703125,4994539.5
0.34,446.33325909181735,3651.0949790923496,,,,,,,,4788.957,13.642365455627441,4788.957,1511.1822265625,22934110.0
0.344,453.6660057339237,3681.2814185735097,,,,,,,,7981.5938,18.470382690429688,7981.5938,3256.490625,63705840.0
0.348,461.059374552901,3711.7174190667506,,,,,,,,9684.332,20.195825576782227,9684.332,5129.504296875,93786290.0
0.352,468.51386588691474,3742.4050402951857,,,,,,,,8194.4375,21.73444366455078,8194.4375,6576.8333984375,67148810.0
0.356,476.02998699403804,3773.3463704688515,,,,,,,,3192.6377,22.325414657592773,3192.6377,6768.3916015625,10192935.0
0.36,483.60824498374086,3804.543497186034,,,,,,,,-3192.6377,22.302886962890625,3192.6377,5172.07265625,10192935.0
0.364,491.2491564630004,3835.9985471430464,,,,,,,,-8300.855,22.492382049560547,8300.855,1915.5828125,68904200.0
0.368,498.95323677830555,3867.7136418471987,,,,,,,,-10003.598,22.082191467285156,10003.598,-2022.003125,100071970.0
0.372,506.7210086890536,3899.6909333222384,,,,,,,,-8300.855,228.4288330078125,8300.855,-5321.06171875,68904200.0
0.376,514.5530000669482,3931.932594637551,,,,,,,,-4682.535,20.79464340209961,4682.535,-6896.0962890625,21926136.0
0.38,522.4497405157726,3964.440805992907,,,,,,,,-1064.2119,19.843263626098633,1064.2119,-6470.4111328125,1132547.0
0.384,530.4117650166659,3997.217769724834,,,,,,,,1277.0557,18.359622955322266,1277.0557,-4554.82890625,1630871.1
0.388,538.4396155073297,4030.2657168076767,,,,,,,,2128.4258,16.637121200561523,2128.4258,-2128.42421875,4530196.5
0.392,546.5338339542435,4063.58687833425,,,,,,,,1809.1621,13.893378257751465,1809.1621,-106.420703125,3273067.5
0.396,554.6949690172116,4097.18351295152,,,,,,,,957.792,0.6128695011138916,957.792,1021.6447265625,917365.5
0.4,562.923576280916,4131.057907813838,,,,,,,,319.26367,28.055234909057617,319.26367,1298.33984375,101929.29
0.404,571.2202112362419,4165.212349689425,,,,,,,,319.26367,7.17148494720459,319.26367,1106.7814453125,101929.29
0.408,579.5854369678252,4199.6491566074055,,,,,,,,1383.4766,12.075053215026855,1383.4766,957.7916015625,1914007.4
0.412,588.0198209735289,4234.370664764669,,,,,,,,3405.4814,17.4830265045166,3405.4814,1277.05546875,11597304.0
0.416,596.523934596322,4269.379226187107,,,,,,,,5427.4844,19.43727684020996,5427.4844,2170.9939453125,29457586.0
0.42,605.0983534651083,4304.677210544355,,,,,,,,6278.8516,20.13167953491211,6278.8516,3362.9115234375,39423976.0
0.424,613.7436616174226,4340.267022121543,,,,,,,,4895.375,21.231721878051758,4895.375,4278.1337890625,23964696.0
0.428,622.4604420811486,4376.151061047405,,,,,,,,1277.0557,21.383991241455078,1277.0557,4256.849609375,1630871.1
0.432,631.2492869637588,4412.331764828275,,,,,,,,-3405.4805,21.798141479492188,3405.4805,2894.6572265625,11597297.0
0.436,640.1107911982349,4448.811582602154,,,,,,,,-7130.2227,21.98290252685547,7130.2227,383.1158203125,50840076.0
