Time (s),Depth,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.096,1992.1867858176072,1.0,-3831.165,20.471906661987305,3831.165,-6768.39140625,14677826.0
1.1,2000.9104664421573,1.0,-532.10645,18.650190353393555,532.10645,-6151.148046875,283137.28
1.104,2009.5633401556445,1.0,1596.3193,15.627652168273926,1596.3193,-4065.2912109375,2548235.5
1.108,2018.0274666181624,1.0,3192.6377,14.934661865234375,3192.6377,-1426.044140625,10192935.0
1.112,2026.6141114326463,0.8784837365095376,4469.6914,16.282184600830078,4469.6914,979.075390625,19978142.0
1.116,2035.3804708103246,1.0,5321.0625,16.90376091003418,5321.0625,2809.5208984375,28313706.0
1.12,2043.9611296662338,1.0,5214.6406,20.48584747314453,5214.6406,3958.8703125,27192476.0
1.124,2052.784786443681,1.0,3192.6377,22.490123748779297,3192.6377,4278.133984375,10192935.0
1.128,2061.7863660186104,0.7607104195266174,-319.26367,23.713665008544922,319.26367,3575.7537109375,101929.29
1.132,2070.7031570017316,1.0,-4150.426,25.37097930908203,4150.426,1851.7302734375,17226034.0
1.136,2079.478797428684,1.0,-6278.8516,26.22828483581543,6278.8516,-468.2525390625,39423976.0
1.14,2088.13321231393,1.0,-5533.9023,222.8429412841797,5533.9023,-2617.9611328125,30624076.0
1.144,2097.151687911861,1.0,-2234.8467,28.258100509643555,2234.8467,-3703.4580078125,4994539.5
1.148,2105.9982852604985,1.0,1702.7402,29.732337951660156,1702.7402,-3299.0572265625,2899324.2
1.152,2115.1657393577757,1.0,3724.745,31.489320755004883,3724.745,-1724.023046875,13873726.0
1.156,2124.114148881159,1.0,2766.9531,33.87275314331055,2766.9531,85.137890625,7656029.5
1.16,2133.1294061160147,1.0,212.84277,41.597835540771484,212.84277,1234.4869140625,45302.047
1.164,2142.07142119338,1.0,-1383.4766,63.04700469970703,1383.4766,1404.7609375,1914007.4
1.168,2151.243639162834,1.0,-212.84277,187.84255981445312,212.84277,1021.6443359375,45302.047
1.172,2160.399394778726,1.0,2660.5322,41.571651458740234,2660.5322,808.8017578125,7078431.5
1.176,2169.4749077906426,1.0,4469.6914,34.83961868286133,4469.6914,1149.3494140625,19978142.0
1.18,2178.7727241548328,1.0,2766.9531,33.044158935546875,2766.9531,1660.171484375,7656029.5
1.184,2188.021714353208,1.0,-2128.4248,32.3104133605957,2128.4248,1511.1818359375,4530192.0
1.188,2197.45600019452,1.0,-6704.539,31.614852905273438,6704.539,212.842578125,44950844.0
1.192,2206.9996693410462,0.8054602873591838,-7449.4883,218.57481384277344,7449.4883,-1809.1615234375,55494876.0
1.196,2216.6234532699623,1.0,-3405.4805,31.61054229736328,3405.4805,-3384.1958984375,11597297.0
1.2,2226.2536395954303,1.0,2554.1104,31.39371681213379,2554.1104,-3426.764453125,6523479.5
1.204,2236.3501397604587,1.0,6278.8516,31.472888946533203,6278.8516,-1745.3091796875,39423976.0
1.208,2246.062491100282,1.0,5533.9023,32.08781433105469,5533.9023,702.3791015625,30624076.0
1.212,2256.6470204373927,1.0,1702.7402,32.83411407470703,1702.7402,2532.8248046875,2899324.2
1.216,2266.567188753987,1.0,-1596.3184,35.741851806640625,1596.3184,2894.6572265625,2548232.2
1.22,2276.505239584099,1.0,-1702.7402,203.44009399414062,1702.7402,2043.287109375,2899324.2
1.224,2286.2255664457925,1.0,638.5283,77.53141784667969,638.5283,915.2224609375,407718.4
1.228,2296.016720817881,1.0,2447.6895,54.27585220336914,2447.6895,297.9798828125,5991183.5
1.232,2305.810226812629,1.0,1383.4766,36.81687927246094,1383.4766,234.1271484375,1914007.4
1.236,2315.7854212330485,1.0,-2341.2676,32.36701202392578,2341.2676,85.1373046875,5481534.0
1.24,2325.7296219169166,1.0,-5853.168,30.38551902770996,5853.168,-744.9482421875,34259576.0
1.244,2335.84724975003,1.0,-6278.8516,220.11778259277344,6278.8516,-2128.42421875,39423976.0
1.248,2346.082826104019,1.0,-2979.795,28.878028869628906,2979.795,-3213.92109375,8879178.0
1.252,2356.4530800483717,1.0,1809.1621,27.961185455322266,1809.1621,-3128.783984375,3273067.5
1.256,2366.842449550343,1.0,5427.4844,27.90753746032715,5427.4844,-1575.03359375,29457586.0
1.26,2377.2882614430455,1.0,5959.59,27.257675170898438,5959.59,787.51796875,35516710.0
1.264,2387.835221152785,1.0,3831.165,26.54707145690918,3831.165,2809.5212890625,14677826.0
1.268,2398.2686976846044,1.0,744.9492,25.934059143066406,744.9492,3554.4701171875,554949.3
1.272,2408.61260610212,1.0,-1489.8975,24.777137756347656,1489.8975,2894.658203125,2219794.5
1.276,2418.853199177797,1.0,-2128.4248,23.09195899963379,2128.4248,1383.4763671875,4530192.0
1.28,2429.124196888014,1.0,-1596.3184,16.923879623413086,1596.3184,-127.7052734375,2548232.2
1.284,2439.3966576518847,1.0,-1064.2119,3.5361878871917725,1064.2119,-1106.7806640625,1132547.0
1.288,2449.735017131187,1.0,-1170.6338,8.010796546936035,1170.6338,-1489.897265625,1370383.5
1.292,2460.2224756486357,1.0,-2022.0039,238.28689575195312,2022.0039,-1596.3185546875,4088499.8
1.296,2470.8544649002465,0.9827999845059524,-2341.2676,22.81662368774414,2341.2676,-1638.887109375,5481534.0
1.3,2481.347779977309,1.0,-1170.6338,24.723093032836914,1170.6338,-1553.7501953125,1370383.5
1.304,2491.59251147513,1.0,1702.7402,26.421245574951172,1702.7402,-1000.359765625,2899324.2
1.308,2502.0261172996898,1.0,5108.2188,27.358863830566406,5108.2188,255.4107421875,26093898.0
1.312,2512.421059759136,1.0,6810.961,27.089595794677734,6810.961,2022.0037109375,46389188.0
1.316,2522.4112035362964,0.6122212039493959,5321.0625,26.961380004882812,5321.0625,3554.4697265625,28313706.0
1.32,2532.9056994407956,0.9806023749715963,532.10645,27.055490493774414,532.10645,3895.0177734375,283137.28
1.324,2543.478985542388,1.0,-5533.9023,26.84577751159668,5533.9023,2447.6892578125,30624076.0
1.328,2554.1534578213127,1.0,-9790.754,26.55840301513672,9790.754,-532.1052734375,95858860.0
1.332,2564.8597314186136,1.0,-9897.176,223.8389434814453,9897.176,-3873.7326171875,97954090.0
1.336,2575.5604537030554,1.0,-5746.746,25.596881866455078,5746.746,-6087.2943359375,33025090.0
1.34,2586.4390886349065,1.0,851.3701,25.34426498413086,851.3701,-6023.4416015625,724831.06
1.344,2597.3167649070197,1.0,7023.801,25.05864906311035,7023.801,-3511.9009765625,49333776.0
1.348,2607.9781381975968,1.0,10216.441,24.69965362548828,10216.441,489.5380859375,104375670.0
1.352,2618.414505828425,1.0,9365.07,24.458511352539062,9365.07,4341.9873046875,87704540.0
1.356,2628.8124670796146,1.0,5321.0625,23.874629974365234,5321.0625,6555.5490234375,28313706.0
1.36,2639.270895789599,1.0,0.0,23.80435562133789,0.0,6385.275,0.0
1.364,2649.7230527791635,1.0,-4469.6914,23.84135627746582,4469.6914,4086.5765625,19978142.0
1.368,2660.279005008858,1.0,-6385.2734,23.02741241455078,6385.2734,766.23359375,40771716.0
1.372,2670.787811682545,1.0,-5746.746,227.66404724121094,5746.746,-2256.1296875,33025090.0
1.376,2681.427725431197,1.0,-3618.3232,20.480777740478516,3618.3232,-4044.0068359375,13092263.0
1.38,2692.281294646213,1.0,-1596.3184,17.08829689025879,1596.3184,-4363.2705078125,2548232.2
1.384,2702.796708329767,1.0,-532.10645,10.510698318481445,532.10645,-3575.753515625,283137.28
1.388,2713.276567042671,1.0,-319.26367,3.0492053031921387,319.26367,-2362.5515625,101929.29
1.392,2723.8052143487103,1.0,532.10645,10.755232810974121,532.10645,-1106.7810546875,283137.28
1.396,2734.799227444342,1.0,2554.1104,18.190139770507812,2554.1104,127.7056640625,6523479.5
1.4,2745.4320508331184,1.0,5001.797,22.397531509399414,5001.797,1447.3287109375,25017972.0
1.404,2756.3267133617182,1.0,6066.0117,24.617637634277344,6066.0117,2766.95234375,36796500.0
1.408,2767.2926358394025,1.0,4363.2695,25.884096145629883,4363.2695,3703.458984375,19038122.0
1.412,2778.2185288390883,1.0,212.84277,26.61408805847168,212.84277,3639.60625,45302.047
1.416,2789.1845598818095,1.0,-4150.426,26.68499755859375,4150.426,2298.6990234375,17226034.0
1.42,2800.2778436160074,1.0,-6385.2734,26.768268585205078,6385.2734,21.2849609375,40771716.0
1.424,2811.373260013711,1.0,-5533.9023,223.7726593017578,5533.9023,-2298.6978515625,30624076.0
1.428,2822.366944722221,1.0,-2660.5312,25.73101043701172,2660.5312,-3703.4580078125,7078426.5
1.432,2833.057393461306,1.0,532.10645,25.514835357666016,532.10645,-3639.6052734375,283137.28
1.436,2843.8795704918707,1.0,2341.2686,23.521888732910156,2341.2686,-2341.26640625,5481538.5
1.44,2854.821195982541,1.0,2660.5322,21.265378952026367,2660.5322,-532.1052734375,7078431.5
1.444,2865.5472308597555,1.0,2128.4258,18.261388778686523,2128.4258,1000.3603515625,4530196.5
1.448,2876.358169441928,1.0,1489.8975,15.552363395690918,1489.8975,1830.44609375,2219794.5
1.452,2887.314669764741,1.0,851.3701,14.540807723999023,851.3701,1894.298828125,724831.06
1.456,2898.185085799603,0.7376532765404845,532.10645,8.011726379394531,532.10645,1532.46640625,283137.28
1.46,2908.9746365653887,1.0,212.84277,11.88380241394043,212.84277,1042.928515625,45302.047
1.464,2920.0460773673435,1.0,-212.84277,14.601065635681152,212.84277,574.6748046875,45302.047
1.468,2931.1308018073573,0.9071813611866762,-638.52734,15.333294868469238,638.52734,148.98984375,407717.16
1.472,2942.2897006269072,1.0,-1064.2119,17.717226028442383,1064.2119,-234.1265625,1132547.0
1.476,2953.2643767035106,1.0,-1383.4766,226.3356170654297,1383.4766,-617.2431640625,1914007.4
1.48,2964.2109389800867,1.0,-957.791,31.162118911743164,957.791,-851.369921875,917363.6
1.484,2975.0662561275994,1.0,212.84277,35.973636627197266,212.84277,-766.2328125,45302.047
1.488,2985.889690396992,1.0,1383.4766,42.45878219604492,1383.4766,-361.83203125,1914007.4
1.492,2996.8975511931644,1.0,1277.0557,44.85898971557617,1277.0557,106.421484375,1630871.1
1.496,3011.5800555497194,1.0,-532.10645,40.490787506103516,532.10645,276.6955078125,283137.28
1.5,3030.788984770125,1.0,-2873.374,37.2147102355957,2873.374,-106.42109375,8256278.5
1.504,3052.2074390116254,1.0,-3405.4805,214.46034240722656,3405.4805,-830.0857421875,11597297.0
1.508,3073.5803031675127,1.0,-1064.2119,33.63185119628906,1064.2119,-1319.6234375,1132547.0
1.512,3093.9297551068835,1.0,2873.374,33.73362350463867,2873.374,-1000.359765625,8256278.5
1.516,3115.047602993773,0.9118129289977989,5427.4844,35.214412689208984,5427.4844,191.5583984375,29457586.0
1.52,3135.7638786551756,1.0,3831.165,35.993717193603516,3831.165,1532.4662109375,14677826.0
1.524,3157.834115755817,1.0,-1064.2119,36.91337203979492,1064.2119,2000.719921875,1132547.0
1.528,3178.686112559109,0.6424175352840216,-5640.324,38.00349044799805,5640.324,1085.4974609375,31813258.0
1.532,3199.8841222514693,1.0,-5853.168,211.92665100097656,5853.168,-659.8109375,34259576.0
1.536,3222.061345869167,1.0,-851.3701,37.13911437988281,851.3701,-1915.5818359375,724831.06
1.54,3244.0961074036545,1.0,5853.168,35.595237731933594,5853.168,-1511.18125,34259576.0
1.544,3265.8917133285418,1.0,9045.805,33.98434829711914,9045.805,510.8220703125,81826584.0
1.548,3287.735991406553,1.0,6066.0117,32.68263626098633,6066.0117,2852.0892578125,36796500.0
1.552,3308.653947746847,1.0,-1064.2119,31.603092193603516,1064.2119,3809.88046875,1132547.0
1.556,3330.602134071916,1.0,-7449.4883,31.086740493774414,7449.4883,2490.2568359375,55494876.0
1.56,3352.69389516232,1.0,-8832.965,219.24981689453125,8832.965,-446.9697265625,78021260.0
1.564,3374.963732129847,1.0,-5108.2188,30.170385360717773,5108.2188,-3277.7744140625,26093898.0
1.568,3397.092459053471,1.0,319.26367,30.662336349487305,319.26367,-4427.1240234375,101929.29
1.572,3419.1698986508754,1.0,3405.4814,31.9466609954834,3405.4814,-3533.1853515625,11597304.0
1.576,3440.532760331633,1.0,2554.1104,34.145606994628906,2554.1104,-1532.465625,6523479.5
1.58,3461.964602393511,1.0,0.0,56.89884567260742,0.0,234.12734375,0.0
1.584,3483.2499897798084,1.0,-1277.0547,158.8340301513672,1277.0547,1000.36015625,1630868.6
1.588,3504.4374311000142,1.0,532.10645,40.3478889465332,532.10645,1042.9287109375,283137.28
1.592,3525.4753024110405,1.0,3724.745,31.61476707458496,3724.745,1106.7814453125,13873726.0
1.596,3547.0017060577457,1.0,5427.4844,30.219743728637695,5427.4844,1681.45625,29457586.0
1.6,3568.3399769352227,1.0,3618.3232,29.933910369873047,3618.3232,2405.1208984375,13092263.0
1.604,3589.7650824291945,1.0,-319.26367,29.00623321533203,319.26367,2596.6791015625,101929.29
