Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.325,426.35986328124994,107.26545810699463,426.35986328124994,85.27197265624999,181782.73301720613
0.326,852.7197265624999,89.53020668029785,852.7197265624999,255.81591796874994,727130.9320688245
0.327,1279.07958984375,71.79495525360107,1279.07958984375,511.6318359375,1636044.5971548557
0.328,1705.439453125,54.0597038269043,1705.439453125,852.7197265625,2908523.728275299
0.329,1630.199462890625,51.01872634887695,1630.199462890625,1178.759619140625,2657550.2888088822
0.33,1554.95947265625,47.97774887084961,1554.95947265625,1404.479541015625,2417898.961603403
0.331,1479.719482421875,44.936771392822266,1479.719482421875,1529.8794921875,2189569.7466588616
0.332,1404.4794921875,41.89579391479492,1404.4794921875,1554.95947265625,1972562.6439752579
0.333,1078.439453125,38.217909812927246,1078.439453125,1429.55947265625,1163031.654056549
0.334,752.3994140625,34.54002571105957,752.3994140625,1253.999462890625,566104.8782815933
0.335,426.359375,30.862141609191895,426.359375,1028.279443359375,181782.31665039062
0.336,100.3193359375,27.18425750732422,100.3193359375,752.3994140625,10063.969162940979
0.337,-225.720703125,26.401342391967773,225.720703125,426.359375,50949.835819244385
0.338,-551.7607421875,25.618427276611328,551.7607421875,100.3193359375,304439.91661930084
0.339,-877.80078125,24.835512161254883,877.80078125,-225.720703125,770534.2115631104
0.34,-1203.8408203125,24.052597045898438,1203.8408203125,-551.7607421875,1449232.720650673
0.341,-1354.320800781252,23.144940376281724,1354.320800781252,-842.6887695312504,1834184.8314287718
0.342,-1504.800781250004,22.237283706665014,1504.800781250004,-1098.5047851562513,2264425.3912506225
0.343,-1655.2807617187564,21.3296270370483,1655.2807617187564,-1319.2087890625025,2739954.400116226
0.34400000000000003,-1805.7607421875014,20.421970367431502,1805.7607421875014,-1504.8007812500027,3260771.858025556
0.34500000000000003,-1830.8408203125014,17.903227090835433,1830.8408203125014,-1630.200781250003,3351978.109322553
0.34600000000000003,-1855.9208984375014,15.384483814239363,1855.9208984375014,-1730.520800781253,3444442.3812570623
0.34700000000000003,-1881.0009765625014,12.865740537643294,1881.0009765625014,-1805.7608398437521,3538164.673829084
0.34800000000000003,-1906.0810546875055,10.346997261047333,1906.0810546875055,-1855.9208984375023,3633144.9870386333
0.34900000000000003,-2006.4011230468805,9.812482595443695,2006.4011230468805,-1896.0489746093779,4025645.466563783
0.35000000000000003,-2106.7211914062555,9.277967929840058,2106.7211914062555,-1951.2250488281286,4438274.178320193
0.35100000000000003,-2207.0412597656305,8.74345326423642,2207.0412597656305,-2021.4491210937547,4871031.122307861
0.352,-2307.361328125,8.208938598632812,2307.361328125,-2106.7211914062545,5323916.298526764
0.353,-2508.001220703125,65.13333892822266,2508.001220703125,-2227.105224609378,6290070.123048365
0.354,-2708.64111328125,122.0577392578125,2708.64111328125,-2367.5532226562523,7336736.680557489
0.355,-2909.281005859375,178.98213958740234,2909.281005859375,-2528.065185546876,8463915.971054137
0.356,-3109.9208984375,235.9065399169922,3109.9208984375,-2708.64111328125,9671607.994538307
