Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.052,-520.8086,38.9282341003418,520.8086,-104.16171875,271241.6
0.056,-520.8086,226.03720092773438,520.8086,-208.3234375,271241.6
0.06,-636.54346,248.55654907226562,636.54346,-335.63212890625,405187.56
0.064,-983.749,235.0556640625,983.749,-532.38193359375,967762.1
0.068,-983.749,21.469228744506836,983.749,-729.13173828125,967762.1
0.072,-57.867676,26.004497528076172,57.867676,-636.5435546875,3348.668
0.076,1273.0864,24.772729873657227,1273.0864,-277.76455078125,1620749.0
0.08,2256.8354,22.335468292236328,2256.8354,300.91123046875,5093306.0
0.084,2604.0415,21.783008575439453,2604.0415,1018.4693359375,6781032.0
0.088,2198.9683,21.049541473388672,2198.9683,1655.01279296875,4835461.5
0.092,1041.6167,21.813655853271484,1041.6167,1874.90966796875,1084965.4
0.096,-578.6758,22.045867919921875,578.6758,1504.5572265625,334865.66
0.1,-2083.233,22.06809425354004,2083.233,636.5435546875,4339859.5
0.104,-2951.247,22.422258377075195,2951.247,-474.51416015625,8709859.0
0.108,-2893.3794,227.28115844726562,2893.3794,-1492.98369140625,8371644.5
0.112,-1793.895,24.81637191772461,1793.895,-2060.08603515625,3218059.2
0.116,173.60254,27.723600387573242,173.60254,-1909.63037109375,30137.842
0.12,1851.7622,30.657176971435547,1851.7622,-1122.63134765625,3429023.2
0.124,1967.4976,34.161033630371094,1967.4976,-138.882421875,3871046.8
0.128,636.54346,39.46636962890625,636.54346,567.1021484375,405187.56
0.132,-752.2788,47.82229995727539,752.2788,775.425390625,565923.4
0.136,-1099.4844,201.06820678710938,1099.4844,520.8080078125,1208865.9
0.14,-289.3379,38.98504638671875,289.3379,92.58798828125,83716.414
0.144,1099.4839,31.414426803588867,1099.4839,-81.01474609375,1208864.9
0.148,2314.7036,27.793479919433594,2314.7036,254.61728515625,5357853.0
0.152,2661.9087,26.67189598083496,2661.9087,937.45478515625,7085758.0
0.156,1620.2925,26.543231964111328,1620.2925,1481.41015625,2625347.8
0.16,-578.6758,26.362285614013672,578.6758,1423.542578125,334865.66
0.164,-2893.3794,26.02356719970703,2893.3794,624.969921875,8371644.5
0.168,-4166.465,26.055227279663086,4166.465,-671.26376953125,17359430.0
0.172,-3587.7903,223.4910430908203,3587.7903,-1921.203564453125,12872239.0
0.176,-1388.8223,26.423690795898438,1388.8223,-2523.026513671875,1928827.2
0.18,1215.2192,26.629322052001953,1215.2192,-2164.247509765625,1476757.8
0.184,2835.5112,27.380311965942383,2835.5112,-1018.469384765625,8040124.0
0.188,2661.9087,26.664674758911133,2661.9087,347.205322265625,7085758.0
0.192,1446.69,25.75567054748535,1446.69,1354.1013671875,2092911.8
0.196,231.47021,25.118385314941406,231.47021,1678.15986328125,53578.46
0.2,-173.60303,17.97254180908203,173.60303,1400.39541015625,30138.012
0.204,-57.867676,3.5376298427581787,57.867676,821.71962890625,3348.668
0.208,0.0,7.218921661376953,0.0,289.337890625,0.0
0.212,0.0,1.4229560292733368e-05,0.0,-9.765625e-05,0.0
0.216,231.47021,30.251251220703125,231.47021,-9.765625e-05,53578.46
0.22,231.47021,16.402236938476562,231.47021,81.01455078125,53578.46
0.224,-173.60303,20.923643112182617,173.60303,57.86748046875,30138.012
0.228,-868.0137,23.450481414794922,868.0137,-115.73525390625,753447.75
0.232,-1330.9546,23.06960678100586,1330.9546,-381.926171875,1771440.1
0.236,-1388.8223,230.64764404296875,1388.8223,-705.98466796875,1928827.2
0.24,-1157.352,19.448043823242188,1157.352,-983.74912109375,1339463.8
0.244,-462.94092,21.809064865112305,462.94092,-1041.61669921875,214314.3
0.248,578.6758,24.0578556060791,578.6758,-752.27880859375,334865.66
0.252,1330.9546,24.75092124938965,1330.9546,-219.89697265625,1771440.1
0.256,1330.9546,23.45184326171875,1330.9546,324.0583984375,1771440.1
0.26,868.0137,18.758628845214844,868.0137,729.13154296875,753447.75
0.264,520.8081,11.511754989624023,520.8081,925.88134765625,271241.1
0.268,289.3379,9.985876083374023,289.3379,868.01376953125,83716.414
0.272,173.60254,2.336261510848999,173.60254,636.543359375,30137.842
0.276,231.47021,20.74933624267578,231.47021,416.646484375,53578.46
0.28,578.6758,13.891094207763672,578.6758,358.77890625,334865.66
0.284,983.749,14.833683013916016,983.749,451.36708984375,967762.1
0.288,868.0137,20.546253204345703,868.0137,567.10224609375,753447.75
0.292,-115.73535,22.099658966064453,115.73535,509.23466796875,13394.672
0.296,-1736.0278,22.203359603881836,1736.0278,115.73505859375,3013792.8
0.3,-3356.32,22.52852439880371,3356.32,-671.264111328125,11264884.0
0.304,-4050.731,227.4993133544922,4050.731,-1678.160107421875,16408421.0
