holeid,from,to,GM,TEMP,PERM,POR,AC,CAL,CN,DEN,GR,PF,PORT,PORW,R16,R64,RD,RLML,RNML,SP
Unknown 2,0,0.5,,53.30887623,0.100023748,0.526052745,122.8879343,17.33794873,8.227019031,2.438855068,28.30150855,13.71583079,0.526052745,0.51683166,8.656995776,11.07538518,10.09899276,1.579307284,1.661506977,71.8918539
Unknown 2,0.5,2,Lonja,53.30887623,0.100023748,0.526052745,122.8879343,17.33794873,8.227019031,2.438855068,28.30150855,13.71583079,0.526052745,0.51683166,8.656995776,11.07538518,10.09899276,1.579307284,1.661506977,71.8918539
Unknown 2,2,4,Lonja,53.33305968,0.100023759,0.52627134,122.8804382,17.33683986,8.227230613,2.438966807,28.31725825,13.72228601,0.52627134,0.517045907,8.660547799,11.08037512,10.10703351,1.580580713,1.662784053,71.87862857
Unknown 2,4,6,Lonja,53.35726162,0.100023771,0.526490041,122.8729171,17.33573028,8.227447677,2.439078627,28.33301439,13.72874444,0.526490041,0.517260259,8.664103675,11.08537196,10.11508645,1.581854964,1.66406182,71.86539265
Unknown 2,6,8,Lonja,53.38148206,0.100023782,0.52670885,122.8653709,17.33461999,8.227670227,2.43919053,28.34877691,13.73520609,0.52670885,0.517474715,8.667663404,11.09037568,10.12315161,1.583130034,1.665340274,71.8521462
Unknown 2,8,10,Lonja,53.405721,0.100023793,0.526927765,122.8577994,17.33350899,8.227898271,2.439302514,28.36454574,13.74167096,0.526927765,0.517689276,8.671226987,11.09538629,10.131229,1.584405917,1.66661941,71.83888926
Unknown 2,10,12,Lonja,53.42997846,0.100023805,0.527146786,122.8502027,17.33239727,8.228131812,2.43941458,28.38032083,13.74813904,0.527146786,0.517903942,8.674794423,11.1004038,10.13931863,1.585682612,1.667899223,71.8256219
Unknown 2,12,14,Lonja,53.45425443,0.100023816,0.527365915,122.8425805,17.33128483,8.228370855,2.439526728,28.39610212,13.75461034,0.527365915,0.518118712,8.678365713,11.10542819,10.14742053,1.586960114,1.669179709,71.81234417
Unknown 2,14,16,Lonja,53.47854893,0.100023828,0.527585151,122.834933,17.33017166,8.228615407,2.439638958,28.41188956,13.76108485,0.527585151,0.518333587,8.681940857,11.11045949,10.15553471,1.58823842,1.670460864,71.79905612
Unknown 2,16,18,Lonja,53.50286197,0.100023839,0.527804493,122.8272598,17.32905778,8.228865471,2.439751269,28.42768308,13.76756259,0.527804493,0.518548567,8.685519856,11.11549767,10.16366119,1.589517526,1.671742683,71.78575782
Unknown 2,18,20,Lonja,53.52719354,0.100023851,0.528023943,122.8195611,17.32794317,8.229121054,2.439863662,28.44348263,13.77404355,0.528023943,0.518763652,8.689102709,11.12054276,10.17179998,1.590797428,1.673025162,71.77244931
Unknown 2,20,22,Lonja,53.55154367,0.100023862,0.528243499,122.8118366,17.32682783,8.22938216,2.439976137,28.45928815,13.78052772,0.528243499,0.518978841,8.692689418,11.12559475,10.1799511,1.592078124,1.674307795,71.75913066
Unknown 2,22,24,Lonja,53.57591234,0.100023873,0.528463163,122.8040863,17.32571177,8.229648794,2.440088693,28.47509958,13.78701512,0.528463163,0.519194135,8.696279981,11.13065364,10.18811457,1.593359608,1.675591576,71.74580192
Unknown 2,24,26,Lonja,53.60029957,0.100023885,0.528682933,122.7963102,17.32459497,8.229920962,2.440201331,28.49091685,13.79350574,0.528682933,0.519409534,8.6998744,11.13571943,10.19629041,1.594641879,1.676876003,71.73246316
Unknown 2,26,28,Lonja,53.62470537,0.100023896,0.52890281,122.7885081,17.32347744,8.230198668,2.44031405,28.50673992,13.79999959,0.52890281,0.519625038,8.703472674,11.14079213,10.20447863,1.595924931,1.678161071,71.71911442
Unknown 2,28,30,Lonja,53.64912975,0.100023908,0.529122795,122.78068,17.32235917,8.230481917,2.440426851,28.52256872,13.80649666,0.529122795,0.519840647,8.707074804,11.14587174,10.21267925,1.597208761,1.679446776,71.70575576
Unknown 2,30,32,Lonja,53.6735727,0.100023919,0.529342886,122.7728257,17.32124016,8.230770714,2.440539733,28.53840318,13.81299696,0.529342886,0.52005636,8.71068079,11.15095825,10.22089229,1.598493366,1.680733113,71.69238725
Unknown 2,32,34,Lonja,53.69803424,0.100023931,0.529563085,122.7649452,17.32012041,8.231065065,2.440652696,28.55424326,13.81950048,0.529563085,0.520272179,8.714290632,11.15605167,10.22911776,1.599778742,1.682020078,71.67900894
