Time (s),Depth,Sonic_Velocity,AC,PERM,PORT,RT,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.08,199.84063217998016,4999.683953708911,,,,,,-4767.375,41.218772888183594,4767.375,-4767.375,22727864.0
0.084,209.84011814888163,4999.80084667006,,,,,,-5244.1133,210.8437957763672,5244.1133,-5005.744140625,27500724.0
0.088,219.8398379064434,4999.917742364174,,,,,,-1668.582,31.94477081298828,1668.582,-3893.3567708333335,2784166.0
0.092,229.8397914581319,5000.0346407913175,,,,,,2622.0586,34.1656494140625,2622.0586,-2264.5029296875,6875191.5
0.096,239.83997880941337,5000.151541951554,,,,,,4529.008,36.0684814453125,4529.008,-905.80078125,20511912.0
0.1,249.8403999657536,5000.268445844948,,,,,,3575.5332,30.324174880981445,3575.5332,762.780859375,12784438.0
0.104,259.84105493261825,5000.385352471562,,,,,,1191.8457,27.540706634521484,1191.8457,2049.97265625,1420496.1
0.108,269.84194371547284,5000.5022618314615,,,,,,-1906.9492,22.967639923095703,1906.9492,2002.29921875,3636455.2
0.112,279.8430663197827,5000.61917392471,,,,,,-5482.4805,21.005355834960938,5482.4805,381.39140625,30057592.0
0.116,289.8444227510125,5000.7360887513705,,,,,,-8581.277,21.73687744140625,8581.277,-2240.665625,73638320.0
0.12,299.84601301462726,5000.853006311508,,,,,,-9534.754,229.03726196289062,9534.754,-4862.723046875,90911540.0
0.124,309.84783711609117,5000.969926605185,,,,,,-6912.6953,22.151090621948242,6912.6953,-6483.63125,47785356.0
0.128,319.84989506086833,5001.0868496324665,,,,,,-1430.2129,20.97271728515625,1430.2129,-6388.283984375,2045508.9
0.132,329.8521868544226,5001.203775393416,,,,,,4529.008,19.707096099853516,4529.008,-4385.986328125,20511912.0
0.136,339.85471250221747,5001.320703888099,,,,,,9773.121,20.24987030029297,9773.121,-715.106640625,95513896.0
0.14,349.8574720097165,5001.4376351165765,,,,,,12633.547,20.325077056884766,12633.547,3718.553515625,159606510.0
0.144,359.8604653823832,5001.554569078914,,,,,,12156.8125,22.07688331604004,12156.8125,7532.455078125,147788100.0
0.148,369.86369262567996,5001.671505775175,,,,,,7151.0664,24.246530532836914,7151.0664,9248.7109375,51137750.0
0.152,379.8671537450696,5001.788445205424,,,,,,-953.4746,26.185678482055664,953.4746,8152.214453125,909113.8
0.156,389.8708487460145,5001.905387369724,,,,,,-8581.277,28.160825729370117,8581.277,4481.334765625,73638320.0
0.16,399.8747776339768,5002.022332268139,,,,,,-11918.441,29.96122169494629,11918.441,-429.062890625,142049250.0
0.164,409.8789404144184,5002.139279900733,,,,,,-8819.645,218.79698181152344,8819.645,-4624.354296875,77786130.0
0.168,419.88333709280073,5002.25623026757,,,,,,-715.10547,30.402000427246094,715.10547,-6197.588671875,511375.84
0.172,429.88796767458496,5002.3731833687125,,,,,,8342.91,28.633831024169922,8342.91,-4338.31171875,69604150.0
0.176,439.89283216523273,5002.490139204227,,,,,,14302.129,27.078218460083008,14302.129,238.36953125,204550900.0
0.18,449.89793057020455,5002.607097774176,,,,,,14302.129,25.107553482055664,14302.129,5482.48359375,204550900.0
0.184,459.9032628957231,5002.724059078631,,,,,,8819.648,23.31924057006836,8819.648,9010.3421875,77786200.0
0.188,469.9088291470249,5002.841023117655,,,,,,715.1074,21.349590301513672,715.1074,9296.384765625,511378.62
0.192,479.9146293290864,5002.957989891304,,,,,,-6435.957,18.588943481445312,6435.957,6340.611328125,41421544.0
0.196,489.92066344736713,5003.074959399646,,,,,,-11680.074,16.203001022338867,11680.074,1144.170703125,136424130.0
0.2,499.92693150732714,5003.19193164274,,,,,,-15970.711,15.861425399780273,15970.711,-4910.397265625,255063600.0
0.204,509.9334335144255,5003.308906620653,,,,,,-18592.77,232.0150909423828,18592.77,-10392.880859375,345691070.0
0.208,519.9401694741215,5003.425884333447,,,,,,-16447.45,20.134864807128906,16447.45,-13825.3921875,270518600.0
0.212,529.9471393918732,5003.542864781188,,,,,,-8342.91,21.583045959472656,8342.91,-14206.7828125,69604150.0
0.216,539.9543432731399,5003.659847963937,,,,,,3098.7969,22.549427032470703,3098.7969,-11251.00859375,9602542.0
0.22,549.9617811233793,5003.77683388176,,,,,,11918.441,22.15890121459961,11918.441,-5673.178125,142049250.0
0.224,559.9694529480496,5003.893822534718,,,,,,14778.867,20.53754425048828,14778.867,1001.14921875,218414910.0
0.228,569.9773587526087,5004.01081392288,,,,,,13110.285,18.308664321899414,13110.285,6912.69609375,171879580.0
0.232,579.9854985425138,5004.127808046304,,,,,,10011.492,15.933221817016602,10011.492,10583.5765625,100229976.0
0.236,589.9938723232228,5004.244804905058,,,,,,6435.957,16.89838218688965,6435.957,11251.00859375,41421544.0
0.24,600.0024801007717,5004.36180449921,,,,,,1191.8457,20.538097381591797,1191.8457,9105.689453125,1420496.1
0.244,610.0113218815236,5004.478806828836,,,,,,-4529.008,23.43191146850586,4529.008,5244.114453125,20511912.0
0.248,620.0203976695041,5004.5958118939825,,,,,,-7866.172,25.79882049560547,7866.172,1048.823046875,61876660.0
0.252,630.0297074701688,5004.712819694712,,,,,,-6912.6953,223.9514617919922,6912.6953,-2336.014453125,47785356.0
0.256,640.0392512889737,5004.82983023109,,,,,,-3813.9004,23.788789749145508,3813.9004,-4385.9859375,14545836.0
0.26,650.0490291313758,5004.946843503181,,,,,,-953.4746,21.583452224731445,953.4746,-4815.05,909113.8
0.264,660.0590410028287,5005.063859511046,,,,,,715.1074,16.974552154541016,715.1074,-3766.226953125,511378.62
0.268,670.0692869087886,5005.1808782547505,,,,,,1906.9512,14.654704093933105,1906.9512,-1811.60234375,3636462.8
0.272,680.0797668547118,5005.297899734359,,,,,,3337.164,19.865922927856445,3337.164,238.36953125,11136664.0
