WellID,From,To,Lithology,Strat_Simplified,Strat_Simplified_Viro,Stratigraphy
VIROVITICA-1,0.0,15.0,"humus, sand, clay and gravel",,QUATERNARY,Quaternery layers
VIROVITICA-1,15.0,700.0,"clay, sand and marl",,RHOMBOIDE LAYERS,Rhomboide layers
VIROVITICA-1,700.0,1750.0,marls and sandstones,,ABICHI LAYERS,Abichi layers
VIROVITICA-1,1750.0,2903.0,marls and sandstones,,MIOCENE,Miocene layers
VIROVITICA-1,2903.0,2956.0,coarse-grained basaltic volcanic rock,,DOLERITE,Dolerite (Basement rock)
VIROVITICA-3ALFA,0.0,86.0,sandy clays,Lonja,Lonja,Lonja formation
VIROVITICA-3ALFA,86.0,757.0,sandy clays,Bilogora,Bilogora,Bilogora formation
VIROVITICA-3ALFA,757.0,860.0,marly clay and sandstones,Bilogora,Bilogora,Bilogora formation
VIROVITICA-3ALFA,860.0,1517.0,marls and sandstones,KLOSTAR IVANIC,KLOSTAR IVANIC,KloStar Ivanic formation (Pepelana and Poljana sandstones)
VIROVITICA-3ALFA,1517.0,1854.0,marls and argillaceous sandstones,IVANIC GRAD,IVANIC GRAD,Ivanic Grad formation (Okoli sandstones)
VIROVITICA-3ALFA,1854.0,2481.0,sandy marls and argillaceous sandstones,MOSLAVACKA GORA,MOSLAVACKA GORA,Moslavacka gora formation (Koprivnicki sandstones)
VIROVITICA-3ALFA,2481.0,3525.0,sandy marls and qaurtz argillaceous sandstones,MOSLAVACKA GORA,MOSLAVACKA GORA,Mosti member-Moslavacka gora
VIROVITICA-3ALFA,3525.0,3584.0,sandy marls and dolomite,MOSLAVACKA GORA,MOSLAVACKA GORA,Moslavacka gora formation  (Mosti)
VIROVITICA-3ALFA,3584.0,3635.0,"calcareous marls, sandy marls, sandstones and extrusive",MOSLAVACKA GORA,MOSLAVACKA GORA,Moslavacka gora formation  (Mosti)
VIROVITICA-3ALFA,3656.0,3945.0,"limestone dolomite, sandstones (in traces) and extrusive",MOSLAVACKA GORA,MOSLAVACKA GORA,Moslavacka gora fm. (Mosti)
VIROVITICA-3ALFA,3945.0,4087.0,"dolomite, calcite, extrusive, quartz",MOSLAVACKA GORA,MOSLAVACKA GORA,Moslavacka gora fm. (Mosti)
LONCCARICA-1,0.0,390.0,"clays, gravel, clayey sands with coal",Lonja,Lonja,Lonja and Siroko Polje formation
LONCCARICA-1,390.0,770.0,clayey sandstone that transitions into sandy marls interbedded with sandstones,KLOSTAR IVANIC,KLOSTAR IVANIC,Bregi sandstones
LONCCARICA-1,770.0,830.0,sandy marls interbedded with sandstones,KLOSTAR IVANIC,KLOSTAR IVANIC,Cabuna marl
LONCCARICA-1,830.0,980.0,argillaceous sandstones interbedded with sandy marls,KLOSTAR IVANIC,KLOSTAR IVANIC,Pepelana sandstones
LONCCARICA-1,980.0,1030.0,sandy marls interbedded with sandstones,KLOSTAR IVANIC,KLOSTAR IVANIC,Graberski marl
LONCCARICA-1,1030.0,1100.0,argillaceous sandstones interbedded with marls,KLOSTAR IVANIC,KLOSTAR IVANIC,Poljana sandstones
LONCCARICA-1,1100.0,1110.0,sandy marls,KLOSTAR IVANIC,KLOSTAR IVANIC,Lepsicki marl
LONCCARICA-1,1110.0,1155.0,marls,IVANIC GRAD,IVANIC GRAD,Ivanic grad formation
LONCCARICA-1,1155.0,1300.0,sandy marls interbedded with sandstones and  silty conglomerates,PRECEC,PRECEC,Precec i Prkos formation
LONCCARICA-1,1300.0,1445.0,"marls, calcareous marls interbedded with sandstones",PRECEC,PRECEC,Precec i Prkos formation
LONCCARICA-1,1445.0,1500.0,clayey marls,PRECEC,PRECEC,Precec i Prkos formation
LONCCARICA-1,1500.0,1765.0,"clayey and sandy marls, also with calcareous marls (sandstones in traces)",PRECEC,PRECEC,Precec i Prkos formation
SUHOPOLJE-1,0.0,277.0,"gravel, clays, clayey sands and poorly carbonized coal",Lonja,Lonja,Lonja formation
SUHOPOLJE-1,277.0,745.0,"gravel, clays, clayey sands and poorly carbonized coal",Bilogora,Bilogora,Bilgora formation
SUHOPOLJE-1,745.0,2015.0,"marly clays, clayey marls, sands and sandstones",KLOSTAR IVANIC,KLOSTAR IVANIC,KloStar Ivanic fm.
SUHOPOLJE-1,2015.0,2400.0,marls and sandstones,KLOSTAR IVANIC,KLOSTAR IVANIC,KloStar Ivanic fm.
