Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy,Lithology_label,Strat_Simplified_Viro_label,TEMP,RD,Lithology_name,Strat_Simplified_Viro_name
0.052,-520.8086,38.9282341003418,520.8086,-104.16171875,271241.6,6,1,43.74264903025717,10.259254393169607,clay and sand,Bilogora
0.056,-520.8086,226.0372009277344,520.8086,-208.3234375,271241.6,6,1,43.724893297531295,10.373680567595068,clay and sand,Bilogora
0.06,-636.54346,248.5565490722656,636.54346,-335.63212890625,405187.56,6,1,43.724893297531295,10.196502691249988,clay and sand,Bilogora
0.064,-983.749,235.0556640625,983.749,-532.38193359375,967762.1,6,1,43.67909390123967,10.187524548209632,clay and sand,Bilogora
0.068,-983.749,21.46922874450684,983.749,-729.13173828125,967762.1,10,5,43.15139372704435,9.522520187560504,clays and gravel,Lonja
0.072,-57.867676,26.00449752807617,57.867676,-636.5435546875,3348.668,6,1,43.70932592605645,10.460277280618168,clay and sand,Bilogora
0.076,1273.0864,24.772729873657227,1273.0864,-277.76455078125,1620749.0,6,5,43.7297453248782,9.702967209656975,clay and sand,Lonja
0.08,2256.8354,22.335468292236328,2256.8354,300.91123046875,5093306.0,10,5,43.40669228885772,9.40375667167612,clays and gravel,Lonja
0.084,2604.0415,21.783008575439453,2604.0415,1018.4693359375,6781032.0,10,5,43.40482946825618,9.603562484885842,clays and gravel,Lonja
0.088,2198.9683,21.049541473388672,2198.9683,1655.01279296875,4835461.5,10,5,43.255034160459815,9.737344990347164,clays and gravel,Lonja
0.092,1041.6167,21.813655853271484,1041.6167,1874.90966796875,1084965.4,10,5,43.405399336833646,9.894940986773165,clays and gravel,Lonja
0.096,-578.6758,22.045867919921875,578.6758,1504.5572265625,334865.66,10,5,43.45859292210701,10.073216071251386,clays and gravel,Lonja
0.1,-2083.233,22.06809425354004,2083.233,636.5435546875,4339859.5,10,5,43.20075685093864,9.352526157918527,clays and gravel,Lonja
0.104,-2951.247,22.422258377075195,2951.247,-474.51416015625,8709859.0,10,5,43.24841838499288,9.254153842961689,clays and gravel,Lonja
0.108,-2893.3794,227.2811584472656,2893.3794,-1492.98369140625,8371644.5,13,1,43.57397388146695,9.804836551145296,gravel and clays,Bilogora
